Name,ID#,,,,,,,,,,,,,,
,,,,,1.089432244,0.703739356,0.365798982,0.069224771,-0.192349742,-0.426542559,-0.633701902,-0.819365252,-0.992908426,-1.146633075,
n-hexadecane,41,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,1.340016446,0.929034412,0.568568667,0.252566732,-0.02652772,-0.276048344,-0.496915755,-0.694241492,-0.875929561,-1.038167678,-1.199470754
pentadecan-2-one,42,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,1.146944366,0.766383512,0.434765203,0.141574685,-0.119270327,-0.351450679,-0.558296874,-0.764034052,-0.915296353,-1.074532017
coumarin,43,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,1.306136482,0.926888417,0.596237056,0.301160759,0.043685381,-0.184924863,-0.389611454,-0.571749471,-0.735567501,-0.913347636,-1.021824557,-1.150827575
n-heptadecane,44,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,1.154764895,0.770233485,0.434683116,0.138225254,-0.126144206,-0.361099846,-0.570593639,-0.779959794,-0.932496275,-1.094276075
n-octadecane,45,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,1.377567948,0.970919398,0.615701821,0.301891716,0.022334918,-0.226263278,-0.447795489,-0.663516605,-0.828444976,-0.997366062
n-nonadecane,46,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,1.170399496,0.795787167,0.464804498,0.170106339,-0.091939398,-0.325649177,-0.547731567,-0.725632859,-0.900052242
indole-3-acetic acid ethyl ester,47,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,1.116444517,0.768680363,0.4617678,0.188392324,-0.054491298,-0.270732498,-0.475195438,-0.64077908,-0.800887822
n-eicosane,48,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,1.368733287,0.974950968,0.626738995,0.316864489,0.041135001,-0.204489289,-0.433890441,-0.624055677,-0.806058055
n-heneicosane,49,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,1.152928436,0.787832513,0.462669509,0.173553148,-0.084182275,-0.322368151,-0.523617906,-0.712804181
triphenylmethane,50,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,1.328921087,0.971690657,0.654532875,0.371293158,0.118302609,-0.107996674,-0.318492561,-0.495798992,-0.663286542
n-docosane,51,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,1.330083339,0.9479827,0.607683595,0.305073256,0.035388097,-0.211911113,-0.423768136,-0.621383622
n-tricosane,52,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,,1.107148649,0.751937893,0.435872102,0.154156313,-0.10242089,-0.324952721,-0.530463973
n-tetracosane,53,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,,1.265473873,0.895323661,0.565887524,0.272213289,0.005885702,-0.227214626,-0.44050282
n-pentacosane,54,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,,1.422819423,1.037858633,0.695039459,0.389646483,0.113422675,-0.129987334,-0.351624005
n-hexacosane,55,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,,,1.179660611,0.823676024,0.506374021,0.22012107,-0.033209719,-0.263105972
n-octacosane,56,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,,,,1.078753554,0.737896621,0.431525424,0.158505677,-0.088258042
n-triacontane,57,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,,,,1.33077193,0.967029417,0.640416103,0.348083508,0.084500166
n-dotriacontane,58,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,,,,,1.19388245,0.846782032,0.535697872,0.255543389
benzamide,59,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,1.027379669,0.658404446,0.339599016,0.055338336,-0.189991095,-0.405203177,-0.597370075,-0.768816267,-0.918354891,-1.056470206,-1.181138279,
4-nitroaniline,60,60,80,100,120,140,160,180,200,220,240,260,280,300,320
